"pli0081","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","2010","direct migration background","inadequately","","","",""
"Min 1x per week","2010","direct migration background","general elemantary","","","",""
"Min 1x per week","2010","direct migration background","middle vocational","","","",""
"Min 1x per week","2010","direct migration background","vocational + Abi","","","",""
"Min 1x per week","2010","direct migration background","higher vocational","","","",""
"Min 1x per week","2010","direct migration background","higher education","","","",""
"Min 1x per week","2010","indirect migration background","in school","","","",""
"Min 1x per week","2010","indirect migration background","inadequately","","","",""
"Min 1x per week","2010","indirect migration background","general elemantary","","","",""
"Min 1x per week","2010","indirect migration background","middle vocational","","","",""
"Min 1x per week","2010","indirect migration background","vocational + Abi","","","",""
"Min 1x per week","2010","indirect migration background","higher vocational","","","",""
"Min 1x per week","2010","indirect migration background","higher education","","","",""
"Min 1x per month","2010","no migration background","in school","","","",""
"Min 1x per month","2010","no migration background","inadequately","","","",""
"Min 1x per month","2010","no migration background","general elemantary","","","",""
"Min 1x per month","2010","no migration background","middle vocational","","","",""
"Min 1x per month","2010","no migration background","vocational + Abi","","","",""
"Min 1x per month","2010","no migration background","higher vocational","","","",""
"Min 1x per month","2010","no migration background","higher education","","","",""
"Min 1x per month","2010","direct migration background","in school","","","",""
"Min 1x per month","2010","direct migration background","inadequately","","","",""
"Min 1x per month","2010","direct migration background","general elemantary","","","",""
"Min 1x per month","2010","direct migration background","middle vocational","","","",""
"Min 1x per month","2010","direct migration background","vocational + Abi","","","",""
"Min 1x per month","2010","direct migration background","higher vocational","","","",""
"Min 1x per month","2010","direct migration background","higher education","","","",""
"Min 1x per month","2010","indirect migration background","in school","","","",""
"Min 1x per month","2010","indirect migration background","inadequately","","","",""
"Min 1x per month","2010","indirect migration background","general elemantary","","","",""
"Min 1x per month","2010","indirect migration background","middle vocational","","","",""
"Min 1x per month","2010","indirect migration background","vocational + Abi","","","",""
"Min 1x per month","2010","indirect migration background","higher vocational","","","",""
"Min 1x per month","2010","indirect migration background","higher education","","","",""
"Rarely","2010","no migration background","in school","","","",""
"Rarely","2010","no migration background","inadequately","","","",""
"Rarely","2010","no migration background","general elemantary","","","",""
"Rarely","2010","no migration background","middle vocational","","","",""
"Rarely","2010","no migration background","vocational + Abi","","","",""
"Rarely","2010","no migration background","higher vocational","","","",""
"Rarely","2010","no migration background","higher education","","","",""
"Rarely","2010","direct migration background","in school","","","",""
"Rarely","2010","direct migration background","inadequately","","","",""
